,id,year,debt,threat,rec1,rec2,rd_ratio,se,log_assets,mkt_share,mkt_growth
10622,532.0,16.0,0.0,10.5465,0,0,0.3837406454630496,-0.11934048414276056,4.5961597133298095,0.016298806911420258,-0.13561477422516827
10632,532.0,17.0,0.0,10.0975,0,0,0.33806664258623803,-0.09757147338396106,4.920557401969586,0.01919984515291942,0.09924605487088099
10633,368.0,17.0,0.159,5.4924998,0,0,0.0,0.0051522936405973985,4.313801325678315,0.15958809345026165,0.09924605487088099
10661,368.0,18.0,296.029,5.1538,0,0,0.0,0.0027674530490946173,6.152192123089678,0.19880033626810192,0.0024841425082410534
10681,532.0,18.0,0.0,9.3914003,0,0,0.24367211000272168,-0.1423797176198042,4.850239599135961,0.03653830431370814,0.0024841425082410534
10696,532.0,19.0,0.0,10.7624,0,0,0.19719819118176776,-0.10758409725467641,5.117406813819478,0.037423431140354776,0.18675995606098883
10714,20.0,20.0,25.363,16.1026,0,0,0.19411710971042295,-0.0754226267880364,3.320854628979617,0.0037106955706813012,0.07481226202899961
10724,464.0,20.0,3.185,1.018,0,0,0.05325443786982249,-0.028785869001687968,3.50182672294408,0.008020010706341427,0.07481226202899961
10725,64.0,20.0,0.0,13.6731,0,0,1.5440975387420237,-0.21831462848297215,4.127392416268301,0.0029747934893851373,0.07481226202899961
10733,64.0,21.0,0.0,24.2701,0,0,2.876281245840543,-0.7197143147311228,4.078875531318169,0.004723121522770339,0.07838657451563627
10736,474.0,21.0,0.0,26.6471,0,0,3.260638404255319,-0.2698526858605821,2.409823843663644,0.0002954701338615811,0.07838657451563627
10748,464.0,21.0,3.173,1.0082,0,0,0.051154221307033704,-0.03527564047839568,3.212173413808525,0.008700966782364284,0.07838657451563627
10755,20.0,21.0,25.086,22.783001,0,0,0.1803532140096331,-0.18443997314797878,2.797342308580972,0.005286086426755542,0.07838657451563627
10758,81.0,22.0,0.0,4.7013001,0,0,0.05583338925112363,-0.048150042503688574,3.5622953020044834,0.010183373962397546,-0.024788853506130706
10760,474.0,22.0,0.0,31.0576,0,0,7.485544642857143,-1.517307113534095,1.7540576020440435,0.0003790481667335415,-0.024788853506130706
10776,64.0,22.0,0.0,29.849501,0,0,3.576577421436727,-0.9663768533412903,4.300396208909445,0.006492489134790585,-0.024788853506130706
10779,20.0,22.0,25.547,26.5875,0,0,0.1184369397387582,-0.08538859002290523,3.6255668479021703,0.008809324357988455,-0.024788853506130706
10788,20.0,23.0,20.266,27.1574,0,0,0.1024618054879829,-0.08999136973684212,3.836437018471551,0.011327902577524683,0.16967153555326123
10795,111.0,23.0,0.0,17.9652,0,0,0.12315171156572818,-0.04079801551696839,2.941645607650225,0.0040813847687972684,0.16967153555326123
10800,81.0,23.0,0.0,4.8204999,0,0,0.0414807520694218,-0.032585900682905844,3.616147457947837,0.008955017273081144,0.16967153555326123
10805,64.0,23.0,0.0,33.198299,0,0,2.7868878383963627,-0.3733365221236453,4.959145489173705,0.005333825101940445,0.16967153555326123
10809,20.0,24.0,19.905,27.812599,0,0,0.11086287194254128,-0.11031846963906582,4.0754165523365815,0.01534984247257821,0.08478352536072764
10815,111.0,24.0,2.215,19.069,0,0,0.26666018068777925,-0.20207060260153964,2.9357168411440044,0.005229910250975411,0.08478352536072764
10821,64.0,24.0,0.0,37.298698,0,0,2.017701811896531,-0.23322628632269776,4.964451729791774,0.0042620669414642235,0.08478352536072764
